Prvcnm,Gdp0101,Gdp0102,Gdp0103,Gdp0104,Gdp0105,Gdp0106,Gdp0107,Gdp0108,Gdp0110,Gdp0111,Gdp0112,Gdp0116,Sgnyea
北京,19500.56,161.83,4352.3,3536.89,815.41,14986.43,883.58,2372.43,2822.07,1339.52,7194.08,93213,2013
北京,17879.4,150.2,4059.27,3294.32,764.95,13669.93,816.31,2229.77,2536.91,1244.17,6469.71,87475,2012
北京,16251.93,136.27,3752.48,3048.79,703.69,12363.18,808.95,2139.65,2215.41,1074.93,5775.82,81658,2011
北京,14113.58,124.36,3388.38,2763.99,624.39,10600.84,712.01,1888.51,1863.61,1006.52,4812.85,75943,2010
北京,12153.03,118.29,2855.55,2303.08,552.47,9179.19,556.64,1525.03,1603.63,1062.47,4168.91,70452,2009
北京,11115,112.81,2693.15,2198.49,494.66,7682.07,505.74,1060.92,1493.58,610.84,3733.47,63029,2008
北京,9846.81,101.26,2509.4,2082.76,426.64,6742.66,502.61,879.42,1286.28,644.24,3183.1,58204,2007
北京,8117.78,98.04,2191.43,1821.86,369.57,5580.81,458.29,751.91,974.06,559.82,2617.12,50467,2006
北京,6969.52,97.99,2026.51,1707.04,319.47,4761.81,404.66,654.09,836.62,455.31,2228.32,45443.6929,2005
北京,6060.28,102.9,1610.37,1290.16,320.21,2570.04,283.09,305.03,598.57,228.44,1154.91,37058,2004
北京,5023.77,95.64,1311.86,1032.03,279.83,2255.6,253.8,567.09,635.56,190.55,1441.15,32061,2003
北京,4330.4,98.05,1116.53,874.15,242.38,1998.13,235.56,509.68,561.91,163.12,1220.26,28449,2002
北京,3710.52,93.08,1030.6,816.24,214.36,1721.97,218.53,459.11,487.54,111.03,978.49,25523,2001
北京,2478.76,89.97,943.51,745.32,198.19,1445.28,190.12,406.38,425.19,77.37,776.88,22459.6566,2000
北京,2174.46,87.48,840.23,649.34,190.89,1246.75,167.54,364.46,356.85,69.45,618.59,19846.3013,1999
