Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
140,17,59,12,2,8,22,38,14
413,0,5,1,0,3,0,0,0
77,49,239,57,19,24,48,153,34
129,3,10,12,0,0,3,5,4
35,8,30,21,18,43,71,59,23
91,128,302,73,12,20,51,134,16
142,5,19,11,3,12,47,30,15
251,3,3,1,2,1,2,8,3
192,90,246,27,11,11,28,82,21
217,3,21,2,9,5,16,30,8
72,14,45,15,2,6,8,15,4
231,3,11,8,4,6,7,13,10
58,10,75,15,8,6,16,54,7
5,4,14,9,5,5,6,17,9
204,0,9,5,2,0,0,1,0
114,2,5,4,1,9,11,16,9
96,3,34,6,6,7,10,23,3
331,11,20,4,7,9,13,43,15
247,2,15,5,0,8,5,7,2
18,4,88,23,4,10,33,23,3
236,2,14,0,0,0,0,2,0
43,13,48,10,7,14,77,112,3
93,11,15,1,3,3,12,20,6
81,13,24,15,9,18,77,67,13
322,3,20,6,1,8,8,9,4
292,2,17,1,0,0,0,3,3
33,5,21,15,9,13,27,32,15
285,12,21,4,0,4,2,1,6
17,7,13,4,2,5,4,11,5
264,7,36,13,5,10,16,27,4
420,0,12,1,4,9,7,5,10
131,1,10,2,0,1,3,16,12
245,3,16,3,2,1,2,4,4
75,57,119,26,6,20,44,130,19
199,2.25,7.25,3.0,1.0,4.0,7.25,14.25,6.5
48,4,63,7,9,13,71,46,8
169,1,6,2,5,2,13,5,2
25,3,5,4,1,10,19,19,16
195,9,67,25,5,14,50,28,8
98,2,15,9,11,21,47,59,22
295,1,6,4,2,3,3,12,7
346,4,47,10,6,3,12,16,9
36,10,74,27,12,21,53,75,27
349,6,30,9,4,6,4,7,20
107,1,43,18,3,7,7,14,4
202,2,10,4,2,3,1,3,1
304,3,21,7,1,6,8,7,10
180,7,24,3,5,6,5,5,5
291,11,28,7,6,5,11,11,10
359,5,24,4,1,4,7,19,7
596,5,17,2,3,1,2,9,2
100,7,28,5,18,23,42,90,26
145,6,20,8,6,15,15,42,8
118,2,25,9,4,7,6,24,15
237,3,29,5,2,5,16,5,1
238,1,7,4,0,3,8,15,11
54,2,19,7,1,5,2,19,10
303,2,27,11,1,1,5,10,13
141,3,46,11,9,4,10,21,13
125,2,22,10,5,5,35,40,11
32,7,12,6,1,8,13,2,2
121,3,7,3,3,4,3,2,0
30,14,36,0,0,3,2,7,2
144,8,38,5,3,4,9,12,3
168,4,39,11,7,4,4,7,1
174,51,145,26,9,11,65,153,24
191,8,111,12,3,11,49,53,6
116,3,10,7,1,4,5,22,8
289,21,49,9,2,5,17,41,33
224,9,25,4,3,1,5,6,4
228,6,10,0,3,0,1,0,2
606,0,19,1,0,0,0,0,1
67,2,15,3,5,19,25,22,23
130,16,35,8,3,1,3,8,11
137,9,31,3,0,3,3,3,4
339,1,15,1,2,0,0,2,3
186,7,23,4,1,4,4,10,7
60,10,17,2,2,2,10,21,8
220,5,30,2,4,8,7,13,9
23,3,21,4,2,2,0,4,4
497,0,2,0,1,4,3,8,1
345,3,7,11,1,9,3,14,3
172,2,27,5,3,2,3,6,4
207,0,12,2,1,2,3,1,1
405,0,3,0,0,2,0,8,4
276,1,10,2,2,7,1,8,3
89,33,48,6,1,3,12,15,2
198,7,42,8,6,11,17,28,19
159,4,24,0,2,0,0,3,1
258,0,12,0,5,3,6,8,15
210,11,32,10,6,9,15,39,31
602,0,4,0,1,3,1,0,1
45,2,15,5,3,9,15,20,1
239,1,5,1,2,4,5,4,9
2,7,16,13,8,5,8,7,3
