Prvcnm,AQI,CO,NO2,O3,PM10,PM2.5,SO2
杭州滨江,92.65217391,0.823869565,45.43478261,124.9130435,118.4545455,67,25.17391304
杭州西溪,83.73913043,0.910391304,37.43478261,90.73913043,100.4347826,61.04347826,6.608695652
杭州千岛湖,67.04347826,0.393652174,29.86956522,113.1304348,71.56521739,47.65217391,6.782608696
杭州下沙,94.95652174,0.731043478,41.08695652,114.3913043,110.8181818,71.52380952,16.30434783
杭州卧龙桥,73.59090909,0.835772727,11.31818182,117,84.22727273,53.5,16.86363636
杭州浙江农大,80.90909091,0.779818182,28.45454545,30.72727273,106.0909091,54.90909091,8.636363636
杭州朝晖五区,92.77272727,0.857272727,41.90909091,114.9090909,101.6190476,67.5,7.636363636
杭州和睦小学,95.86363636,1.158818182,45,102.9545455,114.5454545,71.36363636,14.09090909
杭州临平镇,101.0454545,0.798090909,38.63636364,115.4090909,105.0454545,75.59090909,22.36363636
杭州城厢镇,89.27272727,0.853727273,31.86363636,101.1818182,121.5454545,63.40909091,15.18181818
杭州云栖,67.59090909,0.804272727,35,71.36363636,83.68181818,44.63636364,8.227272727
宁波区环保大楼,90.18181818,0.886409091,55.90909091,86.27272727,89.81818182,66.86363636,33.09090909
宁波万里学院,92.54545455,0.931181818,40.5,80,80.9,68.63636364,20.81818182
宁波龙赛医院,94.36363636,1.158954545,44.04545455,91.36363636,87.59090909,70.18181818,35
宁波三江中学,95.72727273,1.133636364,48.72727273,89.72727273,124.3809524,71.13636364,33.40909091
宁波市政管理站,96.77272727,1.238136364,56.40909091,81.13636364,123.3636364,71.90909091,22.40909091
宁波钱湖水厂,93.40909091,1.263,41.27272727,82.95454545,100.65,75.31578947,13.90909091
宁波太古小学,85.27272727,1.169409091,39.77272727,84.90909091,99.18181818,62.90909091,30.72727273
宁波市环境监测中心,93.90909091,1.314545455,35.77272727,85.13636364,123.0454545,69.45454545,18.09090909
温州瓯海,72.59090909,1.719,43.18181818,74.13636364,87.59090909,51.54545455,21.27272727
温州南浦,65.54545455,1.5585,35.54545455,88.90909091,78.81818182,42.31818182,16.86363636
温州龙湾,66.55,1.1377,55.1,70.05,79.95,46.15,16.35
温州市站,70.70833333,1.143083333,32.5,89.47826087,72.83333333,51.04166667,18
绍兴袍江站,98.1875,1.176875,48.35714286,89,104.875,73,54.4375
绍兴城东开发委,102.4583333,0.681375,32.625,111.75,105.5833333,75.95833333,31.70833333
绍兴市环保站,99.60869565,0.887130435,47.60869565,118.826087,0,69.2173913,46.60869565
湖州城北水厂,72.75,1.141583333,38.08333333,79.16666667,90.83333333,46.7,25.125
湖州城西水厂,87.33333333,0.841208333,63.375,61.5,110,63.125,26.33333333
湖州吉山新村,86.16666667,1.034708333,45.625,77.54166667,91.83333333,73.07692308,34.58333333
嘉兴清河小学,0,0,0,0,0,0,0
嘉兴嘉兴学院,96.79166667,0.781791667,52,110.375,94.0952381,71.875,33.45833333
嘉兴监测站,85.95833333,0.858958333,57.41666667,105.3333333,100.1666667,62.41666667,55.125
台州黄岩环保大楼,78.19047619,0.868809524,36.23809524,89.9047619,0,57.28571429,8.238095238
台州台州环保大楼,80.47826087,1.208173913,29.08695652,84.86956522,94.86956522,59.04347826,7.217391304
台州路桥田洋王,82.20833333,0.76875,23.33333333,101.125,83.5,60.20833333,7.708333333
舟山定海檀枫,79.91666667,1.524041667,22.66666667,108.6666667,69.20833333,58.58333333,12.54166667
舟山普陀东港,67.91666667,0.860125,19.54166667,123.3333333,61.66666667,43.58333333,9.25
舟山临城新区,64.16666667,0.824541667,23,108.4166667,76.25,43.20833333,8.583333333
金华四中,94.29166667,0.654083333,26,108,83.9047619,67.875,25.08333333
金华十五中,98.79166667,0.763375,23.95833333,111.7083333,86.45454545,73.125,21.375
金华监测站,88.625,0.76725,23.54166667,103.9583333,93.5,64.54166667,28.41666667
衢州环保大楼,85.54545455,0,24.63636364,115.5454545,93.72727273,59.59090909,0
衢州实验学校,81.15384615,0.499307692,12.07692308,85.53846154,85.30769231,58.76923077,18.92307692
衢州衢州学院,78.625,0.493166667,33,99.83333333,71.4375,55.375,17.83333333
丽水监测站大楼,68.58333333,0.532166667,23.5,110.5416667,74.375,49.29166667,12.625
丽水莲都小学,0,0,0,0,0,0,0
丽水余庄前,77.375,0.661125,27.08333333,116.5833333,71.76190476,56.70833333,18.16666667
临安市政府,91.18181818,0.934590909,24.40909091,107.1363636,105.3181818,66.27272727,22.09090909
临安四中,84.63636364,0.926181818,28.36363636,2.5,98.36363636,61.04545455,2.363636364
富阳监测站,86.77272727,0.871636364,30.72727273,65.04545455,92.76190476,63.90909091,16.63636364
富阳富春二小,88.95454545,1.070545455,27.36363636,38.22727273,87.0952381,65.22727273,14.5
义乌江东,78.375,1.23575,30.83333333,111.2083333,81.95833333,55.95833333,17.45833333
义乌北苑,77.25,0.743166667,35.16666667,90.91666667,82.70833333,56.45833333,15.83333333
