Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
科技馆,2,8,2,1,5,8,19,14
温州大剧院,3,18,13,13,5,32,26,8
吴桥路加油站,0,20,26,19,18,25,55,10
银泰百货,7,42,27,47,93,67,74,80
星河广场,2,23,20,14,16,16,17,11
绣山卫生院,4,30,12,10,9,5,20,1
市政府西,0,5,6,20,10,12,43,12
市政府东,0,6,8,20,11,21,40,5
小南门立交桥,15,73,40,30,62,70,80,38
市九中,7,67,53,26,38,62,63,29
鹿城区审批中心,3,7,22,29,14,40,41,1
桥儿头公交站,17,86,24,17,36,34,19,13
公共自行车中心,0,7,52,8,14,24,8,2
南浦医院,11,95,33,25,25,47,53,34
温州建国医院对面,1,18,21,11,7,16,27,1
金色家园,4,34,16,14,26,17,36,22
区政府东,7,31,33,38,23,50,53,15
开太百货,11,61,50,95,80,109,125,70
南浦桥,6,58,42,28,28,32,46,24
东阿外楼,12,70,43,39,57,68,54,49
鱼鳞浃,3,32,7,11,8,20,28,15
温迪路农贸市场,8,84,39,24,17,28,42,24
春晖路口,10,67,28,23,35,43,42,20
鹿城法院,3,40,15,10,10,16,43,16
南浦小区,10,65,22,27,21,32,39,24
锦江家园,6,65,15,5,16,13,27,16
上田菜场,0,13,3,1,3,6,6,4
市审批中心,1,15,16,14,5,26,7,4
绣山中学,5,39,3,18,13,10,26,5
云锦大厦,3,51,36,21,23,33,34,6
数码广场,5,46,64,40,38,60,69,15
国光大厦,3,72,71,67,46,97,86,40
广信大厦,6,38,24,23,27,18,30,11
安平大厦,4,86,29,25,24,44,46,31
工人文化宫,7,52,50,31,27,54,41,34
松台广场,4,36,39,24,22,28,22,35
市二医院,9,72,73,68,45,85,63,24
墨斗小区,19,101,60,42,47,64,90,44
海悦名邸酒店,3,41,14,16,15,25,30,29
安澜轮渡码头,4,27,10,15,25,15,29,21
街心公园,7,82,118,125,97,133,140,33
群艺大楼,8,57,37,24,44,35,41,10
公园路新华书店,9,51,60,54,65,64,69,34
白鹿洲公园,8,49,34,10,13,32,28,31
巽山公园,3,76,24,25,22,41,41,7
阳光花苑,9,87,54,35,56,77,101,30
沃尔玛（欧洲城）,10,56,51,40,57,66,69,38
医学院,6,89,85,98,77,129,87,61
中西医结合医院,2,60,57,61,36,62,45,33
新城车站,1,26,11,20,19,30,34,16
裕达大厦农业银行,5,56,32,32,48,54,76,14
马鞍池公园北,11,98,51,34,33,52,52,42
吴桥路观松楼,8,81,35,29,45,41,60,27
中山公园北,6,90,84,53,36,72,33,24
五马美食林,27,118,70,96,88,123,156,64
建设大厦,7,55,57,57,53,70,91,33
新城大道体检中心,0,10,12,8,7,12,33,4
文景花苑东,10,71,45,26,50,50,74,36
公园路去茶去,8,47,46,36,32,30,49,22
丽都大厦,5,47,32,29,22,28,40,37
大南门农贸,19,126,63,48,66,73,90,67
体育中心西,19,126,63,58,66,73,90,67
县前头,20,104,68,45,62,73,88,37
小南门电力局,7,65,39,46,40,51,76,32
体育中心南,0,36,17,18,23,37,30,24
大自然家园,0,16,15,7,13,15,45,9
站前东小区,2,46,25,32,32,21,77,17
时代广场,4,85,60,46,81,76,89,61
区地税局,6,67,37,40,45,64,68,30
国际大酒店,9,68,47,42,52,76,67,37
质量监督局,1,28,8,8,9,15,19,20
汤家桥路英豪花园,1,18,5,5,7,12,21,4
方正大厦,4,29,15,13,17,26,22,7
龙方家园,3,13,8,8,7,19,20,3
宏源路数码大厦,5,22,19,14,14,16,26,21
喜来登酒店,0,28,16,19,14,16,24,17
