1223A,1224A,1225A,1226A,1227A,1228A,1229A,1230A,1231A,1232A,1233A,1234A,1235A,1236A,1237A,1238A,1239A,1240A,1241A,1242A,1243A,1244A,1245A,1246A,1247A,1248A,1249A,1250A,1251A,1252A,1253A,1254A,1255A,1256A,1257A,1258A,1259A,1260A,1261A,1262A,1263A,1264A,1265A,1266A,1267A,1268A,1269A,2010A,2011A,2012A,2013A,2014A,2015A,2016A,2017A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滨江,西溪,千岛湖,下沙,卧龙桥,浙江农大,朝晖五区,和睦小学,临平镇,城厢镇,云栖,区环保大楼,万里学院,龙赛医院,三江中学,市政管理站,钱湖水厂,太古小学,市环境监测中心,瓯海,南浦,龙湾,市站,袍江站,城东开发委,市环保站,城北水厂,城西水厂,吉山新村,清河小学,嘉兴学院,监测站,黄岩环保大楼,台州环保大楼,路桥田洋王,定海檀枫,普陀东港,临城新区,四中,十五中,监测站,环保大楼,实验学校,衢州学院,监测站大楼,莲都小学,余庄前,市政府,四中,监测站,富春二小,江东,北苑,图书馆,富林印务,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州,杭州,杭州,杭州,杭州,杭州,杭州,杭州,杭州,杭州,杭州,宁波,宁波,宁波,宁波,宁波,宁波,宁波,宁波,温州,温州,温州,温州,绍兴,绍兴,绍兴,湖州,湖州,湖州,嘉兴,嘉兴,嘉兴,台州,台州,台州,舟山,舟山,舟山,金华,金华,金华,衢州,衢州,衢州,丽水,丽水,丽水,临安,临安,富阳,富阳,义乌,义乌,诸暨,诸暨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141A,1142A,1143A,1144A,1145A,1146A,1147A,1148A,1149A,1150A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
普陀,十五厂,虹口,徐汇上师大,杨浦四漂,青浦淀山湖,静安监测站,浦东川沙,浦东新区监测站,浦东张江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海,上海,上海,上海,上海,上海,上海,上海,上海,上海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151A,1152A,1153A,1154A,1155A,1156A,1157A,1158A,1159A,1160A,1161A,1162A,1163A,1164A,1165A,1166A,1167A,1168A,1169A,1170A,1171A,1172A,1173A,1174A,1175A,1176A,1177A,1178A,1179A,1180A,1181A,1182A,1183A,1184A,1185A,1186A,1187A,1188A,1189A,1190A,1191A,1192A,1193A,1194A,1195A,1196A,1197A,1198A,1199A,1200A,1201A,1202A,1203A,1204A,1205A,1206A,1207A,1208A,1209A,1210A,1211A,1212A,1213A,1214A,1215A,1216A,1217A,1218A,1219A,1220A,1221A,1222A,1985A,1986A,1987A,1988A,1989A,1990A,1991A,1992A,1993A,1994A,1995A,1996A,1997A,1998A,1999A,2000A,2001A,2002A,2003A,2004A,2005A,2006A,2007A,2008A,2009A
迈皋桥,草场门,山西路,中华门,瑞金路,玄武湖,浦口,奥体中心,仙林大学城,上方山,南门,彩香,轧钢厂,吴中区,苏州新区,苏州工业园区,相城区,南郊,虹桥,城中,星湖花园,紫琅学院,市环境监测站,洪门派出所,墟沟核电专家村,开发区恒瑞医药公司,黄河新村,淮塔,铜山兽医院,新城区,桃园路,农科院,铜山区环保局,城东财政所,市监测站,邗江监测站,第四医院,大学城,市北高中,曹张,漆塘,东亭,旺庄,育红小学,堰桥,市监测站,城建学校,常工院,潞城,武进监测站,安家,环境监测站,新区办事处,职教中心,丹徒区监测站,公园路,莲花,高港区政府,留学生创业园,钵池山,北京南路,市监测站,楚州区监测站,淮阴区监测站,盐城电厂,市监测站,文峰中学,开发区管委会,市监测站,宿迁学院,宿迁中学,宿豫区环保局,吴江市环保局,教师进修学校,吴江开发区,昆山实验小学,震川中学,海虞子站,兴福子站,菱塘子站,张家港市监测站,城北小学,太仓市监测站,科教新城实小,消防指挥中心,房家坝,虹桥邮政,五星公园,第二实验小学,宜兴市环保局,宜园,金坛市环境监测站,金坛市自来水公司,溧阳市东门子站,燕山子站,海门市监测站,蓓蕾幼儿园
