Prvcnm,AQI,PM2.5,PM10,SO2,NO2,O3,CO
杭州滨江,49,34,36,16,40,8,1.237
杭州西溪,40,28,31,4,38,15,0.848
杭州千岛湖,22,14,0,4,2,69,0.31
杭州下沙,45,31,0,9,32,29,0.632
杭州卧龙桥,40,28,38,4,30,11,0.898
杭州浙江农大,46,32,39,53,43,25,1.622
杭州朝晖五区,45,31,0,6,39,9,0.785
杭州和睦小学,43,30,39,14,36,36,0.795
杭州临平镇,53,37,0,8,26,22,0.938
杭州城厢镇,40,28,0,6,40,7,1.191
杭州云栖,28,19,24,5,22,4,0.92
宁波区环保大楼,94,70,95,23,51,15,1.225
宁波万里学院,60,43,54,23,39,18,1.034
宁波龙赛医院,78,57,67,21,44,16,1.36
宁波三江中学,65,47,69,17,37,20,1.379
宁波市政管理站,57,40,57,7,32,22,1.464
宁波钱湖水厂,80,59,66,14,42,21,1.066
宁波太古小学,64,46,53,8,40,15,1.278
宁波市环境监测中心,82,60,0,8,42,14,1.307
温州瓯海,128,97,167,27,60,5,1.408
温州南浦,130,99,149,28,74,4,1.944
温州龙湾,123,93,164,28,69,9,1.966
温州市站,138,105,180,33,65,2,1.302
绍兴袍江站,52,36,42,49,47,18,0.723
绍兴城东开发委,53,37,49,20,41,9,0.629
绍兴市环保站,29,20,21,4,46,18,0.388
湖州城北水厂,49,34,0,11,38,19,0.818
湖州城西水厂,55,39,0,12,42,12,0.596
湖州吉山新村,46,32,38,9,41,15,0.984
嘉兴清河小学,54,38,43,18,19,40,0.814
嘉兴嘉兴学院,63,45,51,6,22,34,0.722
嘉兴监测站,53,37,53,14,24,43,0.54
台州黄岩环保大楼,83,61,96,15,36,7,1.157
台州台州环保大楼,96,68,141,14,29,5,0.737
台州路桥田洋王,95,71,93,7,45,12,1.329
舟山定海檀枫,49,32,49,10,49,12,1.059
舟山普陀东港,54,38,50,9,22,32,0.954
舟山临城新区,48,33,39,4,26,28,0.961
金华四中,19,11,0,18,37,56,0.77
金华十五中,17,4,17,4,13,8,0.815
金华监测站,22,15,15,10,38,57,0.72
衢州环保大楼,25,9,13,10,25,80,0.748
衢州实验学校,20,10,12,5,18,63,0.521
衢州衢州学院,26,18,0,5,29,58,0.792
丽水监测站大楼,24,6,9,3,22,76,0.438
丽水莲都小学,84,62,0,1,15,71,0.774
丽水余庄前,35,3,24,6,14,111,0.434
临安市政府,57,28,64,5,24,76,1.034
临安四中,63,17,76,7,46,86,1.496
富阳监测站,55,39,40,10,32,34,1.189
富阳富春二小,40,28,29,7,30,24,1.196
义乌江东,22,15,21,3,38,37,1.078
义乌北苑,73,53,66,5,43,32,1.369
