Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
502,0,5,2,0,3,2,0,2
195,14,57,15,17,44,103,59,21
199,13,21,20,9,37,55,45,19
177,1,5,8,4,19,23,11,3
47,1,4,18,10,36,59,35,6
264,3,25,10,7,18,38,31,9
405,2,0,1,1,2,2,5,3
15,0,9,10,1,6,10,3,0
77,36,167,41,20,42,56,86,19
427,0,0,0,1,1,0,4,2
256,1,1,8,5,9,6,4,9
239,0,4,9,1,8,4,7,9
175,17,58,25,12,11,18,9,6
130,4,15,17,5,8,12,15,7
267,0,0,3,1,2,2,6,4
88,0,22,6,3,4,13,13,5
59,13,29,23,8,17,29,41,13
55,1,1,1,6,6,13,4,1
346,0,17,10,2,6,8,10,11
300,1,18,16,10,12,17,9,5
343,1,23,4,10,5,12,4,7
295,0,2,4,7,8,7,12,4
67,3,9,9,10,14,32,46,17
134,12,21,21,5,19,35,24,13
22,6,12,21,4,9,14,8,3
72,13,16,12,4,14,11,8,3
60,7,9,12,11,16,14,18,8
26,16,36,29,16,20,29,22,15
143,8,18,9,6,21,12,9,2
120,7,5,3,2,10,5,4,1
144,5,9,13,9,15,11,13,13
308,2,9,4,4,2,2,1,2
52,9,11,20,12,28,74,67,9
142,3,7,11,7,20,44,19,5
340,5,11,11,16,20,13,22,7
418,3,5,6,1,3,4,3,1
299,3,10,10,3,10,14,12,10
76,1,1,16,35,45,54,10,0
305,0,24,4,3,3,8,4,2
243,0,2,4,4,8,2,7,6
49,7,12,17,22,55,70,106,18
482,1,11,1,4,3,8,1,3
127,3,8,5,2,7,12,9,5
279,0,1,2,0,2,1,1,1
41,1,42,18,9,23,13,13,9
342,0,6,3,4,9,44,22,21
186,3,15,10,4,3,10,11,2
210,1,29,17,8,19,36,39,15
205,6,3,5,3,9,8,3,4
290,1,25,4,4,5,4,4,3
463,0,9,11,5,10,14,11,13
464,10,20,4,4,2,6,7,4
434,0,4,7,0,12,5,3,1
24,2,19,32,9,35,35,38,18
61,2,11,13,4,18,13,22,6
451,0,5,2,3,4,9,5,3
145,9,15,12,6,18,21,15,9
467,0,3,2,1,1,1,2,0
158,6,4,9,2,15,3,11,10
