Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
256,0,0,5,0,3,0,5,1
124,1,2,1,0,1,0,0,0
36,8,15,10,7,10,19,24,2
20,0,1,2,1,7,2,5,2
226,1,5,2,0,5,1,2,3
156,1,6,4,3,2,2,2,3
240,0,3,4,1,5,6,19,12
66,9,37,17,10,13,14,26,7
463,0,8,3,1,3,2,1,3
374,4,7,6,0,3,3,0,2
168,2,7,8,2,2,1,1,0
3,0,0,0,0,2,7,1,0
110,3,19,12,6,7,28,14,5
53,2,6,3,2,9,19,15,2
86,4,9,3,2,3,0,0,0
45,1,4,2,1,2,4,5,0
67,1,3,1,2,6,3,27,6
131,0,2,2,0,2,0,1,2
327,1,5,4,1,2,1,2,2
304,0,5,3,3,1,1,4,1
185,1,3,2,0,1,0,0,1
244,1,3,0,0,4,4,5,2
420,0,1,3,0,2,2,1,3
44,1,13,8,5,5,8,21,5
183,2,4,5,3,2,0,0,1
123,0,5,1,0,3,4,19,6
246,1,2,2,2,1,2,0,0
133,2,29,16,7,10,20,46,21
497,0,0,2,1,1,1,0,1
143,5,7,6,1,3,9,2,1
394,0,15,3,1,2,2,1,2
190,1,8,1,1,2,1,1,1
117,2,1,2,4,4,7,12,3
195,2,11,6,3,13,40,24,8
128,0,3,5,0,4,1,3,2
176,1,16,10,1,3,11,10,2
93,3,4,0,2,1,2,7,3
300,1,9,2,1,3,5,3,2
80,14,16,7,2,4,3,4,4
76,0,1,0,3,1,0,0,0
186,0,8,2,1,2,3,2,0
134,13,7,9,2,3,19,10,2
454,0,1,0,1,0,0,2,1
318,3,7,4,3,3,2,0,8
598,0,3,0,0,0,0,0,0
152,3,2,2,2,0,2,4,1
68,0,1,4,2,4,3,4,1
264,4,11,7,2,2,11,17,4
359,0,11,2,1,1,4,3,1
340,3,6,5,2,4,4,2,3
48,1,11,3,4,12,32,44,6
253,0,0,1,1,0,0,1,0
364,2,4,8,2,2,2,1,1
314,2,1,1,1,0,7,0,2
19,1,4,1,2,2,0,3,1
5,3,2,0,2,2,2,13,3
61,0,11,1,0,1,3,4,4
175,2,21,12,1,3,5,4,1
614,0,0,0,0,0,2,2,0
157,0,4,0,1,0,0,2,0
74,11,17,13,4,1,10,18,6
145,1,4,5,1,1,4,8,8
223,0,0,1,3,3,6,5,2
112,1,6,1,0,10,2,6,4
329,0,1,1,0,1,1,5,1
254,3,9,3,2,2,1,7,2
6,0,0,0,0,0,0,0,0
479,0,0,1,0,2,1,0,0
210,0,8,5,1,4,8,17,4
507,0,8,0,0,1,0,0,0
296,2,4,0,3,1,2,4,3
23,0,5,0,2,0,0,2,0
57,0,1,1,5,4,3,3,5
238,0,1,2,2,3,2,4,6
289,3,14,4,4,2,7,3,6
458,1,3,0,0,0,1,2,1
255,11,18,10,4,3,0,6,0
181,2,8,5,4,5,20,14,11
118,1,6,3,2,1,3,5,2
91,49,151,30,5,9,23,35,10
596,0,7,0,1,0,0,2,1
248,0,0,0,0,0,2,0,1
231,0,0,3,2,6,1,1,1
31,1,4,5,2,2,13,5,9
26,10,17,11,5,10,6,7,2
75,28,75,15,2,10,18,43,5
356,0,0,0,0,0,0,0,0
59,9,14,6,1,3,9,9,8
46,4,8,6,1,0,2,1,1
230,0,4,2,1,2,11,9,2
414,3,1,6,2,2,4,4,1
260,0,1,1,3,1,1,2,3
332,1,3,6,2,0,1,1,4
100,3,8,11,2,13,31,25,4
199,7,12,9,4,7,17,8,7
116,2,2,1,0,2,3,6,3
283,12,17,5,3,28,38,27,4
339,0,0,1,1,1,4,0,2
163,1,0,0,1,0,1,0,0
178,0,0,0,1,0,0,2,0
77,15,93,29,7,9,30,36,8
219,2,9,2,1,0,2,3,4
508,0,0,0,1,1,0,0,0
47,0,7,1,7,11,29,18,6
214,2,0,0,1,0,2,2,0
273,1,3,6,2,0,1,2,0
294,1,2,2,2,1,2,8,2
89,21,30,1,1,0,10,2,1
94,3,2,2,4,2,3,0,2
290,0,17,1,1,0,1,1,0
325,3,10,2,1,3,2,1,3
22,2,10,10,2,4,0,6,3
220,1,3,0,2,0,3,3,1
141,0,7,7,4,4,1,1,1
146,0,4,4,3,1,8,5,0
130,1,12,1,3,1,2,3,2
331,4,6,2,3,3,2,6,2
442,0,0,0,1,0,0,0,0
611,0,0,2,1,1,0,0,2
232,0,3,6,2,3,0,3,7
400,1,0,0,1,0,1,0,0
107,0,6,3,2,3,5,6,3
49,3,5,5,8,11,22,46,2
43,3,23,2,4,5,26,31,5
426,0,2,1,1,2,1,0,0
174,16,76,9,4,8,19,41,9
164,3,10,2,3,6,23,22,2
125,1,5,4,2,8,20,12,2
490,0,1,0,1,0,0,0,0
225,2,7,2,4,1,3,2,1
243,0,3,0,3,2,1,4,1
34,0,0,1,1,0,0,0,0
451,1,0,0,1,2,0,2,4
172,4,5,4,2,1,4,0,1
37,1,10,12,1,10,12,22,8
69,0,6,2,6,4,4,5,5
114,0,1,2,1,0,2,1,1
192,40,148,22,5,6,9,21,4
21,5,7,4,1,2,9,8,1
299,1,4,2,2,2,2,0,1
27,2,0,1,2,1,6,0,0
502,0,1,1,1,0,0,1,0
297,2,2,0,2,0,0,0,0
609,0,0,1,0,0,0,2,1
73,3,10,14,1,4,5,11,3
138,1,2,4,1,2,2,2,0
71,10,25,5,4,10,14,22,2
378,0,1,2,1,0,0,1,0
161,4,2,4,1,4,14,1,2
18,3,29,8,10,5,10,16,4
405,0,0,1,1,0,1,2,0
277,1,6,2,1,2,0,2,0
291,7,8,2,1,1,0,5,2
197,1,9,5,3,7,9,11,1
239,1,2,3,1,0,4,6,1
52,2,7,7,6,4,43,38,9
434,0,0,1,0,2,0,1,0
464,4,10,3,1,2,2,2,0
354,0,1,2,0,0,0,0,1
344,3,9,5,0,1,11,22,5
87,4,2,2,2,4,3,3,2
56,8,25,19,2,6,2,12,4
188,0,1,2,1,2,2,0,0
620,0,4,2,0,2,1,0,0
275,0,2,2,0,2,0,1,0
17,0,5,7,0,0,0,2,0
309,1,4,2,0,0,0,3,0
154,1,2,1,0,0,2,5,0
